creation_time,factory_address,pool_name,pool_address,token0,token1,platform
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WETH-GOVI UNI-V2 LP,0x1ee312a6d5fe7b4b8c25f0a32fca6391209ebebf,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xeeaa40b28a2d1b0b08f6f97bb1dd4b75316c6107,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,POLS-WETH UNI-V2 LP,0xffa98a091331df4600f87c9164cd27e8a5cd2405,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,PERP-WETH UNI-V2 LP,0xf66369997ae562bc9eec2ab9541581252f9ca383,0xbc396689893d065f41bc2c6ecbee5e0085233447,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WBTC-BADGER UNI-V2 LP,0xcd7989894bc033581532d2cd88da5db0a4b12859,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x3472a5a71965499acd81997a54bba8d852c6e53d,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,BBTC-WETH UNI-V2 LP,0xfbb3815a3f7da273da56410d711281699cb1c7d1,0x9be89d2a4cd102d8fecc6bf9da793be995c22541,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,RPL-WETH UNI-V2 LP,0x70ea56e46266f0137bac6b75710e3546f47c855d,0xb4efd85c19999d84251304bda99e90b92300bd93,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,KUMA-WETH UNI-V2 LP,0xdf60e6416fcf8c955fddf01148753a911f7a5905,0x48c276e8d03813224bb1e55f953adb6d02fd3e02,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WETH-PUSH UNI-V2 LP,0xaf31fd9c3b0350424bf96e551d2d1264d8466205,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf418588522d5dd018b425e472991e52ebbeeeeee,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,STARL-WETH UNI-V2 LP,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,DPI-WETH UNI-V2 LP,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,SUNC-WETH UNI-V2 LP,0xaf5a7469cf2571b973aeee9ae2f8aad00e1337d2,0x692accdd8b86692427e0aa4752ae917df01cc56f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WETH-AMPL UNI-V2 LP,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd46ba6d942050d489dbd938a2c909a5d5039a161,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,FLOKI-WETH UNI-V2 LP,0x10e4a463f2ace6e3836fe547e885993844299be6,0x43f11c02439e2736800433b4594994bd43cd066d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,ERN-WETH UNI-V2 LP,0x570febdf89c07f256c75686caca215289bb11cfc,0xbbc2ae13b23d715c30720f079fcd9b4a74093505,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,AUDIO-WETH UNI-V2 LP,0xc730ef0f4973da9cc0ab8ab291890d3e77f58f79,0x18aaa7115705e8be94bffebde57af9bfc265b998,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,RAD-USDC UNI-V2 LP,0x8c1c499b1796d7f3c2521ac37186b52de024e58c,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,EVN-WETH UNI-V2 LP,0x29f07e631a2f990e1f6117c6285a44e746b1f090,0x9af15d7b8776fa296019979e70a5be53c714a7ec,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,URUS-WETH UNI-V2 LP,0xeb4664d8229dde455dca168a404ed6c03d4bb701,0x6c5fbc90e4d78f70cc5025db005b39b03914fc0c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,PKF-WETH UNI-V2 LP,0xfe903a12359496b932e24c5e9b78f1b9060a6342,0x8b39b70e39aa811b69365398e0aace9bee238aeb,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,LTX-WETH UNI-V2 LP,0x69884da24f31960f694a8fa1f30aa8e0416fbd04,0xa393473d64d2f9f026b60b6df7859a689715d092,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,ETH2x-FLI-WETH UNI-V2 LP,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap-v2
2020-01-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,WETH-COIN UNI-V2 LP,0xff62e62e8b3cf80050464b86194e52c3ead43bb6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe61fdaf474fac07063f2234fb9e60c1163cfa850,uniswap-v2
